id,name,depth,time_slice,importance
75,exiobas,2,2012-2014,0.6873200328886355
93,resourc-base citi,2,2012-2014,0.5923413314220183
103,scscs,2,2012-2014,0.5598689903245748
107,aggreg domest electr demand,2,2012-2014,0.5463613247087649
108,emiss-depend suppli chain,2,2012-2014,0.5447118936561602
113,energi effici rate,2,2012-2014,0.5433176276701281
117,madsr,2,2012-2014,0.5339268945602206
118,swedish servic industri,2,2012-2014,0.5284342044426352
120,erdu,2,2012-2014,0.5227600689501791
126,thermal power industri,2,2012-2014,0.5095566712809517
127,elast of substitut between capit and energi,2,2012-2014,0.5066643170743605
135,mnmcpi,2,2012-2014,0.4990251785725605
140,almost ideal suppli system,2,2012-2014,0.49680898210416247
144,dau,2,2012-2014,0.48814249502668333
145,oil save potenti,2,2012-2014,0.48123946984448795
151,hdgt,2,2012-2014,0.47680934716194495
158,direct rebound,2,2012-2014,0.4657887297230882
163,citizen monitor,2,2012-2014,0.4632493380167734
169,fossil-fuel electr generat compani,2,2012-2014,0.4449390788001838
173,flq formula,2,2012-2014,0.44113328034227484
178,coal base sng,2,2012-2014,0.4364388333235753
179,low-level wast,2,2012-2014,0.4353254651894982
181,awf,2,2012-2014,0.4337221272337926
186,clean energi packag,2,2012-2014,0.4328502270800597
187,delucchi,2,2012-2014,0.4321079595686861
188,gilbraith,2,2012-2014,0.4321079595686861
191,pwrs,2,2012-2014,0.43143937919572
195,cartel-fring,2,2012-2014,0.4293066937750506
197,intercomparison,2,2012-2014,0.4284231726248996
200,manageri dispos,2,2012-2014,0.426666213149596
207,co 2 multipli,2,2012-2014,0.4223472451970476
209,tfeeg,2,2012-2014,0.42223279936004987
215,negishi weight,2,2012-2014,0.41735525450798905
221,green tangibl invest strategi,2,2012-2014,0.4138845247407709
222,linear effici program,2,2012-2014,0.4116017822087631
229,massiv electr storag,2,2012-2014,0.4080597922570634
234,power qualiti,2,2012-2014,0.4073898768643741
238,shock absorpt index,2,2012-2014,0.4055583527380918
0,fossil-fuel electr generat compani,3,2015-2017,8.119725475145277
5,probabilist load forecast,3,2015-2017,2.9023711577127207
8,energi congest,3,2015-2017,2.4994488849833347
16,co 2 rebound effect,3,2015-2017,1.850447851552584
17,gefcom 2014,3,2015-2017,1.7199086660487275
18,ielab,3,2015-2017,1.6650317668638435
28,coal price distort,3,2015-2017,1.2945145847580695
31,intercomparison,3,2015-2017,1.2585754583108444
35,rig rate,3,2015-2017,1.1792059123359926
38,exogen abat target,3,2015-2017,1.1367336264523988
41,energi justic concept,3,2015-2017,1.0501713828168813
42,prosumag,3,2015-2017,1.0213930549260906
47,sandi desertif,3,2015-2017,0.9254732839043824
