name,depth,importance,id,new_depth,depth_name
communiti-support agricultur(csa),0,28.372435872151037,0,0,2006-2008
fish market,0,7.556805141670904,3,0,2006-2008
pacif bluefin tuna,0,4.445473092033478,5,0,2006-2008
hypothet bias,0,3.75881624607972,6,0,2006-2008
ibdq,0,2.0948726464198533,18,0,2006-2008
life year save,0,2.064792348640955,19,0,2006-2008
tsukiji,0,1.9052027537286336,22,0,2006-2008
salmon,0,1.7543352160467864,26,0,2006-2008
bioko,0,1.6263925946463942,30,0,2006-2008
experiment auction,0,1.547700856280708,32,0,2006-2008
risk valuat,0,1.5429823747812326,33,0,2006-2008
benefit-cost,0,1.1986595062522092,43,0,2006-2008
recycl,0,1.146245122789862,46,0,2006-2008
catfish,0,1.135896449102939,47,0,2006-2008
access to treatment,0,1.1005710688732582,51,0,2006-2008
colobus,0,1.084261729764263,52,0,2006-2008
vsl,0,1.0145726633561492,56,0,2006-2008
food assur,0,0.9872421591650172,59,0,2006-2008
health-care analyz,0,0.8192802838650924,80,0,2006-2008
health-care servic research,0,0.8192802838650924,81,0,2006-2008
mortal risk reduct,0,0.7817552352422924,83,0,2006-2008
scenario adjust,0,0.7634641663693875,86,0,2006-2008
health econom guidelin,0,0.7014175611308824,90,0,2006-2008
tran-fat,0,0.6711849183052185,93,0,2006-2008
valu of a statist life(vsl),0,0.6666551463196104,94,0,2006-2008
health care workforc,0,0.6522297226130462,97,0,2006-2008
tegaserod,0,0.615831674144409,104,0,2006-2008
wors than death,0,0.6007123256093676,109,0,2006-2008
nuclear-wast transport,0,0.5654001719028751,115,0,2006-2008
satana,0,0.5421308648821315,119,0,2006-2008
en primeur,0,0.45905589930039636,132,0,2006-2008
environment valuat,0,0.44342408348722756,139,0,2006-2008
nutrit label,0,0.43394531042086276,141,0,2006-2008
nutrient content claim,0,0.43042383257586947,144,0,2006-2008
certainti calibr,0,0.4272795783943443,149,0,2006-2008
heterogen anchor,0,0.42218781113736625,152,0,2006-2008
iron chelat,0,0.4212554511626272,154,0,2006-2008
trout,0,0.41533486336459635,159,0,2006-2008
nutrit fact panel,0,0.4091501882701767,165,0,2006-2008
curbsid recycl,0,0.40421273167315935,169,0,2006-2008
red meat,0,0.40367296886201,171,0,2006-2008
cultur particip,0,0.4021387317236225,172,0,2006-2008
checkoff,0,0.4006201429078476,175,0,2006-2008
sf-6 d,0,0.39758006902698206,179,0,2006-2008
benefit-transfer,0,0.3888880920323021,189,0,2006-2008
retrospect databas,0,0.38315195324425133,195,0,2006-2008
irradi,0,0.3799110603976299,201,0,2006-2008
fruit beverag,0,0.3772782645218003,203,0,2006-2008
coral reef,0,0.37056192676531463,209,0,2006-2008
seascap,0,0.3702156547949713,211,0,2006-2008
multi-agent learn,0,0.36739447041598994,213,0,2006-2008
indirect treatment comparison,1,3.1366704147686177,9,1,2009-2011
bioko,1,2.906174110574531,11,1,2009-2011
vendor perform,1,2.830709535844114,12,1,2009-2011
food valu,1,2.672471422592505,13,1,2009-2011
lbp,1,2.339978128861067,17,1,2009-2011
colobus,1,1.9374494070496877,21,1,2009-2011
non-hypothet choic experi,1,1.8288841656785357,25,1,2009-2011
access with evid develop,1,1.6740104837211356,27,1,2009-2011
outcom assess(health care),1,1.5211287439425165,34,1,2009-2011
health literaci,1,1.5107589391512648,35,1,2009-2011
cheap talk script,1,1.50577051735508,36,1,2009-2011
anim identif,1,1.3378163664805995,39,1,2009-2011
sustain seafood,1,1.3143278792661912,41,1,2009-2011
cage-free,1,1.1336771949732967,48,1,2009-2011
haq-di,1,1.1005710688732582,50,1,2009-2011
deliveri uncertainti,1,0.9737022255294159,61,1,2009-2011
satana,1,0.9687247035248439,62,1,2009-2011
art price index,1,0.9554246864173663,65,1,2009-2011
ignor attribut,1,0.9238644707245189,66,1,2009-2011
faw,1,0.8950351748764449,71,1,2009-2011
nutrit claim,1,0.8846804860875421,75,1,2009-2011
bid design,1,0.8318713738579682,76,1,2009-2011
sustain wast manag,1,0.7717139071733472,84,1,2009-2011
zilmax(r),1,0.6767430044688111,92,1,2009-2011
perform base agreement,1,0.6345852435346885,99,1,2009-2011
pbrsas,1,0.6195827674985726,102,1,2009-2011
dbg,1,0.5820676994476428,110,1,2009-2011
awr,1,0.5817888275672234,111,1,2009-2011
sgrq,1,0.5693709480652397,113,1,2009-2011
temsirolimus,1,0.5452165719391433,118,1,2009-2011
prrs,1,0.4969152741414119,127,1,2009-2011
life-save program,1,0.48442644450586003,129,1,2009-2011
attribut nonattend(ana),1,0.4570497398084263,133,1,2009-2011
nilotinib,1,0.45448357320028243,134,1,2009-2011
dasatinib,1,0.44684322201183824,137,1,2009-2011
pazopanib,1,0.4330837860930734,143,1,2009-2011
ingmeb,1,0.4284880091711739,147,1,2009-2011
product traceabl,1,0.4247164394411319,151,1,2009-2011
dsx,1,0.4212554511626272,153,1,2009-2011
kona coffe,1,0.4193900309384181,156,1,2009-2011
violinmak,1,0.41703111053023345,158,1,2009-2011
caregiv effect,1,0.41288158284578214,160,1,2009-2011
anim well-be,1,0.4100919588460125,162,1,2009-2011
red meat,1,0.40367296886201,170,1,2009-2011
denosumab,1,0.3992473594346531,177,1,2009-2011
dasi,1,0.39758006902698206,178,1,2009-2011
experiment referendum,1,0.39152677080699716,183,1,2009-2011
polici maker input,1,0.39152677080699716,184,1,2009-2011
minimum toler level,1,0.3888880920323021,188,1,2009-2011
choic certainti,1,0.38828946532664677,191,1,2009-2011
prescript refil,1,0.38315195324425133,194,1,2009-2011
ruxolitinib,1,0.38212077979005554,198,1,2009-2011
oec,1,0.37953616282123664,202,1,2009-2011
zvl,1,0.37065891536857887,208,1,2009-2011
landscap extern,1,0.3702156547949713,210,1,2009-2011
honesti prime,2,3.7268330790141535,7,2,2012-2014
earn particip reward,2,3.1005213934287776,10,2,2012-2014
attend motiv,2,1.3898528802117496,38,2,2012-2014
indacaterol,2,1.1939992056618867,44,2,2012-2014
pbrsas,2,1.1845132857542167,45,2,2012-2014
awr,2,1.112259139386624,49,2,2012-2014
demand for climat protect,2,1.0328169783701824,54,2,2012-2014
state attribut non-attend,2,1.0085743640430307,57,2,2012-2014
dbg,2,0.9813150588822959,60,2,2012-2014
demqol,2,0.9609776294021042,63,2,2012-2014
outcom-relat risk,2,0.9608366773881536,64,2,2012-2014
oam,2,0.9013267952121207,68,2,2012-2014
provis uncertainti,2,0.8975238753068431,70,2,2012-2014
fact-c,2,0.892075387619134,72,2,2012-2014
nonhealth outcom,2,0.8908635149353481,73,2,2012-2014
fruit beverag,2,0.8280134401884796,78,2,2012-2014
kish island,2,0.7529979858513633,87,2,2012-2014
best aquacultur practic,2,0.7391123125882714,89,2,2012-2014
lym,2,0.6598279892156587,95,2,2012-2014
specialti choic,2,0.6522297226130462,96,2,2012-2014
bazedoxifen,2,0.6446069474887831,98,2,2012-2014
hit-6,2,0.6334263107354797,100,2,2012-2014
demand for voluntari climat chang mitig,2,0.6023186858990177,107,2,2012-2014
lag-time tto,2,0.6007123256093676,108,2,2012-2014
kdsff,2,0.5752155666779198,112,2,2012-2014
pine beetl,2,0.5654001719028751,114,2,2012-2014
baedek,2,0.5462781148221647,116,2,2012-2014
khomani san,2,0.49712405916897084,125,2,2012-2014
opt out altern,2,0.4525796110265662,136,2,2012-2014
pazopanib,2,0.4330837860930734,142,2,2012-2014
polychotom choic method,2,0.4272795783943443,148,2,2012-2014
shimshack,2,0.4095365084430424,164,2,2012-2014
oor,2,0.4054237745149824,167,2,2012-2014
andean trade prefer act,2,0.3950598666117206,181,2,2012-2014
fulvestr,2,0.38961425816172246,187,2,2012-2014
bottl deposit,2,0.3835866502984313,192,2,2012-2014
spring fiesta in sevill,2,0.3834752875074782,193,2,2012-2014
ruxolitinib,2,0.38212077979005554,197,2,2012-2014
proposit 37,2,0.3799110603976299,200,2,2012-2014
species,2,0.37568596456041436,204,2,2012-2014
success choic experi,2,0.37233984648991464,206,2,2012-2014
multi-agent learn,2,0.36739447041598994,212,2,2012-2014
electron payment machin,3,7.259937397811963,4,3,2015-2017
nonmonetari endow,3,2.4516311720535837,15,3,2015-2017
demand for voluntari climat chang mitig,3,2.4300706649620563,16,3,2015-2017
sfscs,3,1.875539664230606,23,3,2015-2017
rank-order model,3,1.0426156627645473,53,3,2015-2017
seabass,3,1.0223365021779547,55,3,2015-2017
green self-ident,3,0.9228802614583946,67,3,2015-2017
vsli,3,0.7655149131092476,85,3,2015-2017
radioact spill,3,0.6806101073514902,91,3,2015-2017
idsi,3,0.6302652290071685,101,3,2015-2017
linaclotid,3,0.615831674144409,103,3,2015-2017
tehv,3,0.6148274103126489,106,3,2015-2017
gilthead,3,0.5288948102895807,120,3,2015-2017
consum judgment,3,0.5034823346683303,123,3,2015-2017
ktp,3,0.49712405916897084,124,3,2015-2017
prrs,3,0.4969152741414119,126,3,2015-2017
cspbms,3,0.47183954486998325,130,3,2015-2017
valu of expert opinion,3,0.45905589930039636,131,3,2015-2017
bdm experiment auction,3,0.44493907880018374,138,3,2015-2017
ingmeb,3,0.4284880091711739,146,3,2015-2017
traceabl inform,3,0.4247164394411319,150,3,2015-2017
mango industri,3,0.4193900309384181,155,3,2015-2017
ecolog care,3,0.41016900509261983,161,3,2015-2017
ladybird,3,0.40962645349858184,163,3,2015-2017
valu gain in life expect,3,0.40531448258280484,168,3,2015-2017
valu assess framework,3,0.40175456226338735,174,3,2015-2017
health benefit in food,3,0.3929295465122004,182,3,2015-2017
riski sport,3,0.3908776176211462,185,3,2015-2017
valu of safeti inform,3,0.3908776176211462,186,3,2015-2017
local social-ecolog system,3,0.3824360590860488,196,3,2015-2017
regul of farm practic,3,0.38210289858431445,199,3,2015-2017
wechat engag,4,8.943401142232128,1,4,2018-2020
pacif bluefin tuna,4,8.62415267625521,2,4,2018-2020
tsukiji,4,3.4043753866730224,8,4,2018-2020
vrmr,4,2.5643821952413335,14,4,2018-2020
fresh produc valu chain,4,1.9590307263937046,20,4,2018-2020
honesti oath,4,1.8305766823534184,24,4,2018-2020
communiti-support fisheri(csf),4,1.6455858101707115,28,4,2018-2020
yeu,4,1.6455858101707115,29,4,2018-2020
metaphylaxi,4,1.61949950433769,31,4,2018-2020
roor,4,1.3914807662700026,37,4,2018-2020
smart home object,4,1.3330492665510145,40,4,2018-2020
perform base agreement,4,1.2131948971807796,42,4,2018-2020
food literaci,4,0.9872421591650172,58,4,2018-2020
induc valu choic experi,4,0.8977633837688688,69,4,2018-2020
health benefit in food,4,0.8873445784807978,74,4,2018-2020
edamam,4,0.828045059572535,77,4,2018-2020
credenc and relat attribut,4,0.8227929050853557,79,4,2018-2020
tradit chines opera,4,0.7856140192311007,82,4,2018-2020
vote-buy gap,4,0.7515742963889822,88,4,2018-2020
tehv,4,0.6148274103126489,105,4,2018-2020
osimertinib,4,0.5452165719391433,117,4,2018-2020
acromegali,4,0.5087474876298473,121,4,2018-2020
perceiv dietari qualiti,4,0.5034823346683303,122,4,2018-2020
experi-base util,4,0.48913808453212093,128,4,2018-2020
lpaa,4,0.4525796110265662,135,4,2018-2020
croton,4,0.4387335708102912,140,4,2018-2020
resveratrol,4,0.42935669755612926,145,4,2018-2020
violinmak,4,0.41703111053023345,157,4,2018-2020
polish art market,4,0.40914657159520157,166,4,2018-2020
respimat,4,0.40175456226338735,173,4,2018-2020
vih,4,0.39970251582637806,176,4,2018-2020
pgb,4,0.39515729699124286,180,4,2018-2020
risk and nuisanc cost,4,0.38828946532664677,190,4,2018-2020
feta,4,0.37245400269929296,205,4,2018-2020
zvl,4,0.37065891536857887,207,4,2018-2020
